20:38:32.513 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 ULTRA ARZ4 235/55 R18 
20:38:32.513 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 ULTRA ARZ4 235/55 R19 
20:38:32.513 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 ULTRA ARZ4 235/55 R19 
20:38:32.514 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 ULTRA ARZ5 245/35 R20 
20:38:32.514 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 ULTRA ARZ5 245/35 R20 
20:38:32.514 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 ULTRA Sport ARV7 285/40 R22 
20:38:32.514 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 ULTRA Sport ARV7 285/40 R22 
20:38:32.514 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Terrano ARV H/T 215/70 R16 
20:38:32.514 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Terrano ARV H/T 215/70 R16 
20:38:32.514 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Traverso ARV H/T 225/70 R16 
20:38:32.514 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Traverso ARV H/T 225/70 R16 
20:38:32.514 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Traverso ARV H/T 265/70 R16 
20:38:32.514 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Traverso ARV H/T 265/70 R16 
20:38:32.515 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Terrano ARV H/T 235/60 R18 
20:38:32.515 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Terrano ARV H/T 235/60 R18 
20:38:32.515 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Terrano ARV H/T 265/60 R18 
20:38:32.515 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Terrano ARV H/T 265/60 R18 
20:38:32.515 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Terramax ARV A/T LT 31x10.5 R15 
20:38:32.517 [main] WARN  com.sjq.FeilvbinDingdan - 通过size找不到 not found product with type:Terramax ARV A/T, size:LT 31x10.5 R15
20:38:32.517 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Terramax ARV A/T LT 31x10.5 R15 
20:38:32.517 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Terramax ARV PRO A/T 265/70 R16 
20:38:32.517 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Terramax ARV PRO A/T 265/70 R16 
20:38:32.517 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Terramax ARV PRO A/T 265/65 R17 
20:38:32.517 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Terramax ARV PRO A/T 265/65 R17 
20:38:32.518 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Terramax ARV PRO A/T LT 285/70 R17 
20:38:32.518 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Terramax ARV PRO A/T LT 285/70 R17 
20:38:32.518 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Terramax ARV PRO A/T 255/60 R18 
20:38:32.518 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Terramax ARV PRO A/T 255/60 R18 
20:38:32.518 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Terramax ARV PRO A/T 265/60 R18 
20:38:32.518 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Terramax ARV PRO A/T 265/60 R18 
20:38:32.518 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Terramax ARV PRO A/T 265/50 R20 
20:38:32.518 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Terramax ARV PRO A/T 265/50 R20 
20:38:32.518 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Terramax ARV PRO A/T 275/55 R20 
20:38:32.518 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Terramax ARV PRO A/T 275/55 R20 
20:38:32.518 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Rock Trak M/T LT 285/70 R17 
20:38:32.519 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Rock Trak M/T LT 285/70 R17 
20:38:32.519 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Transito ARZ 6-C 185 R14c 
20:38:32.519 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Transito ARZ 6-C 185 R14c 
20:38:32.519 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Transito ARZ 6-C 195 R14c 
20:38:32.519 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Transito ARZ 6-C 195 R14c 
20:38:32.519 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Transito ARZ 6-C 195 R15c 
20:38:32.519 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Transito ARZ 6-C 195 R15c 
20:38:32.519 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Transito ARZ 6-C 195/70 R15c 
20:38:32.519 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Transito ARZ 6-C 195/70 R15c 
20:38:32.519 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Transito ARZ 6-C 205/70 R15c 
20:38:32.520 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Transito ARZ 6-C 205/70 R15c 
20:38:32.520 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Transito ARZ 6-C 215/70 R15c 
20:38:32.520 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Transito ARZ 6-C 215/70 R15c 
20:38:32.520 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Transito ARZ 6-C 235/65 R16c 
20:38:32.520 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Transito ARZ 6-C 235/65 R16c 
20:38:32.520 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 Transito ARZ 6-X 215/70 R16c 
20:38:32.520 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 Transito ARZ 6-X 215/70 R16c 
20:38:32.520 [main] INFO  com.sjq.FeilvbinDingdan - write file:./菲律宾订单资料增加code/菲律宾.xlsx
20:38:33.494 [main] INFO  com.sjq.FeilvbinDingdan - read file:菲律宾.xlsx end 
20:38:33.494 [main] INFO  com.sjq.FeilvbinDingdan - read file:菲律宾新订单Arivo 06-10-2024GKILGIUGGI.xlsx start
20:38:33.495 [main] INFO  com.sjq.FeilvbinDingdan - read file:菲律宾新订单Arivo 06-10-2024GKILGIUGGI.xlsx
20:38:33.519 [main] INFO  com.sjq.FeilvbinDingdan - read file:菲律宾新订单Arivo 06-10-2024GKILGIUGGI.xlsx 的数据总数:107
20:38:33.519 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 165/65 R13 
20:38:33.520 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 165/65 R13 
20:38:33.520 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 165/80 R13 
20:38:33.520 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 165/80 R13 
20:38:33.520 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 165/65 R14 
20:38:33.520 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 165/65 R14 
20:38:33.520 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 175/65 R14 
20:38:33.520 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 PREMIO ARZ1 175/65 R14 
20:38:33.520 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 PREMIO ARZ1 185/65 R14 
